FIPS,MajorOcc,_TYPE_,_FREQ_,pEstimate,p_Est,n_Est,Base_pop,Sample,StateAB
23,Military Specific,3,7,0%,0,0,671,7,ME
24,Management,3,3688,4%,0.035777626,12588,351840,3688,MD
24,Business and Financial Operations,3,1895,4%,0.042392691,7744,182673,1895,MD
24,Computer and Mathematical,3,1501,3%,0.029692844,4384,147645,1501,MD
24,Architecture and Engineering,3,645,4%,0.037189207,2281,61335,645,MD
24,"Life, Physical, and Social Science",3,550,4%,0.036672761,1745,47583,550,MD
24,Community and Social Services,3,544,6%,0.064756589,3388,52319,544,MD
24,Legal,3,600,4%,0.037071327,1962,52925,600,MD
24,"Education, Training, and Library",3,2087,4%,0.042629296,8128,190667,2087,MD
24,"Arts, Design, Entertainment, Sports, and Media",3,695,4%,0.039722085,2567,64624,695,MD
24,Healthcare Practitioners and Technical,3,1768,4%,0.036681823,6567,179026,1768,MD
24,Healthcare Support,3,598,5%,0.04542284,3256,71682,598,MD
24,Protective Service,3,847,8%,0.081618946,7534,92307,847,MD
24,Food Preparation and Serving Related,3,1100,6%,0.055642544,7356,132201,1100,MD
24,"Building and Grounds, Cleaning and Maintenance",3,908,9%,0.090069672,9657,107217,908,MD
24,Personal Care and Service,3,994,8%,0.083457345,8917,106845,994,MD
24,Sales and Related,3,2519,6%,0.056499764,15415,272833,2519,MD
24,Office and Administrative Support,3,3978,6%,0.061910174,24896,402131,3978,MD
24,"Farming, Fishing, and Forestry",3,59,2%,0.023783446,152,6391,59,MD
24,Construction and Extraction,3,1147,5%,0.052548814,7218,137358,1147,MD
24,"Installation, Maintenance, and Repair",3,863,4%,0.041455724,3734,90072,863,MD
24,Production,3,788,6%,0.064534344,5143,79694,788,MD
24,Transportation and Material Moving,3,1324,6%,0.06403931,9605,149986,1324,MD
24,Military Specific,3,176,3%,0.033728297,575,17048,176,MD
25,Management,3,4038,3%,0.031485362,11885,377477,4038,MA
25,Business and Financial Operations,3,2147,3%,0.027847489,5759,206805,2147,MA
25,Computer and Mathematical,3,1331,2%,0.021222214,2740,129110,1331,MA
25,Architecture and Engineering,3,853,3%,0.027323551,2214,81029,853,MA
25,"Life, Physical, and Social Science",3,716,2%,0.02189282,1409,64359,716,MA
25,Community and Social Services,3,710,5%,0.047805955,3118,65222,710,MA
25,Legal,3,549,3%,0.031328041,1543,49253,549,MA
25,"Education, Training, and Library",3,2784,3%,0.033906682,8370,246854,2784,MA
25,"Arts, Design, Entertainment, Sports, and Media",3,800,5%,0.05360956,3791,70715,800,MA
25,Healthcare Practitioners and Technical,3,2203,3%,0.031050948,6425,206918,2203,MA
25,Healthcare Support,3,867,6%,0.061099079,5896,96499,867,MA
25,Protective Service,3,731,4%,0.040980803,2995,73083,731,MA
25,Food Preparation and Serving Related,3,1547,5%,0.052991938,9156,172781,1547,MA
25,"Building and Grounds, Cleaning and Maintenance",3,1083,10%,0.101331697,12715,125479,1083,MA
25,Personal Care and Service,3,1211,6%,0.063637541,7860,123512,1211,MA
25,Sales and Related,3,3161,5%,0.052122622,16666,319746,3161,MA
25,Office and Administrative Support,3,4286,6%,0.055354031,23439,423438,4286,MA
25,"Farming, Fishing, and Forestry",3,56,10%,0.096380803,490,5084,56,MA
25,Construction and Extraction,3,1262,5%,0.045497297,6337,139283,1262,MA
25,"Installation, Maintenance, and Repair",3,765,5%,0.052603811,4387,83397,765,MA
25,Production,3,1401,7%,0.067799908,10454,154189,1401,MA
25,Transportation and Material Moving,3,1360,10%,0.097494617,14262,146285,1360,MA
25,Military Specific,3,26,5%,0.045317221,75,1655,26,MA
26,Management,3,4041,5%,0.047412479,18821,396963,4041,MI
26,Business and Financial Operations,3,1860,5%,0.046656085,9171,196566,1860,MI
26,Computer and Mathematical,3,900,5%,0.048826217,4349,89071,900,MI
26,Architecture and Engineering,3,1117,3%,0.033598166,3751,111643,1117,MI
26,"Life, Physical, and Social Science",3,300,3%,0.033787209,933,27614,300,MI
26,Community and Social Services,3,622,5%,0.052296549,3278,62681,622,MI
26,Legal,3,377,4%,0.044664822,1743,39024,377,MI
26,"Education, Training, and Library",3,2500,5%,0.045231755,11194,247481,2500,MI
26,"Arts, Design, Entertainment, Sports, and Media",3,661,5%,0.053330656,3718,69716,661,MI
