FIPS,MajorOcc,_TYPE_,_FREQ_,pEstimate,p_Est,n_Est,Base_pop,Sample,StateAB
47,Transportation and Material Moving,3,1898,8%,0.076595724,15623,203967,1898,TN
47,Military Specific,3,100,8%,0.080984592,862,10644,100,TN
48,Management,3,11837,5%,0.049996306,58876,1177607,11837,TX
48,Business and Financial Operations,3,5696,5%,0.046763106,27054,578533,5696,TX
48,Computer and Mathematical,3,2991,4%,0.039693852,12058,303775,2991,TX
48,Architecture and Engineering,3,2391,5%,0.04704693,11309,240377,2391,TX
48,"Life, Physical, and Social Science",3,876,3%,0.033463738,2780,83075,876,TX
48,Community and Social Services,3,1640,8%,0.077781822,12395,159356,1640,TX
48,Legal,3,1334,5%,0.045877842,5695,124134,1334,TX
48,"Education, Training, and Library",3,7918,5%,0.054790649,41681,760732,7918,TX
48,"Arts, Design, Entertainment, Sports, and Media",3,1769,4%,0.044462913,8132,182894,1769,TX
48,Healthcare Practitioners and Technical,3,5943,4%,0.043760151,26269,600295,5943,TX
48,Healthcare Support,3,2471,8%,0.081815726,23020,281364,2471,TX
48,Protective Service,3,2622,7%,0.071790464,19795,275733,2622,TX
48,Food Preparation and Serving Related,3,5012,7%,0.067262635,43565,647685,5012,TX
48,"Building and Grounds, Cleaning and Maintenance",3,4315,9%,0.092718221,48478,522853,4315,TX
48,Personal Care and Service,3,3479,7%,0.071282756,27376,384048,3479,TX
48,Sales and Related,3,12047,5%,0.052205984,69048,1322607,12047,TX
48,Office and Administrative Support,3,15379,6%,0.063660928,101687,1597322,15379,TX
48,"Farming, Fishing, and Forestry",3,618,10%,0.098837209,5899,59684,618,TX
48,Construction and Extraction,3,6585,6%,0.062449417,50773,813026,6585,TX
48,"Installation, Maintenance, and Repair",3,3990,7%,0.068556877,30152,439810,3990,TX
48,Production,3,6139,7%,0.06618182,45664,689978,6139,TX
48,Transportation and Material Moving,3,6641,8%,0.076149799,57071,749457,6641,TX
48,Military Specific,3,516,5%,0.049666377,2568,51705,516,TX
49,Management,3,1284,4%,0.043147595,5662,131224,1284,UT
49,Business and Financial Operations,3,625,5%,0.04783249,2988,62468,625,UT
49,Computer and Mathematical,3,471,6%,0.057509196,2736,47575,471,UT
49,Architecture and Engineering,3,289,3%,0.033180038,974,29355,289,UT
49,"Life, Physical, and Social Science",3,116,5%,0.054022811,701,12976,116,UT
49,Community and Social Services,3,177,4%,0.042056343,733,17429,177,UT
49,Legal,3,120,2%,0.024010598,290,12078,120,UT
49,"Education, Training, and Library",3,975,6%,0.057211262,5066,88549,975,UT
49,"Arts, Design, Entertainment, Sports, and Media",3,263,6%,0.056157283,1571,27975,263,UT
49,Healthcare Practitioners and Technical,3,620,3%,0.030452876,1866,61275,620,UT
49,Healthcare Support,3,247,1%,0.009611395,278,28924,247,UT
49,Protective Service,3,221,7%,0.065154106,1410,21641,221,UT
49,Food Preparation and Serving Related,3,490,5%,0.053364543,3169,59384,490,UT
49,"Building and Grounds, Cleaning and Maintenance",3,418,7%,0.065190625,3018,46295,418,UT
49,Personal Care and Service,3,326,7%,0.0675787,2297,33990,326,UT
49,Sales and Related,3,1375,6%,0.058013454,8598,148207,1375,UT
49,Office and Administrative Support,3,1851,6%,0.058237583,11313,194256,1851,UT
49,"Farming, Fishing, and Forestry",3,50,5%,0.054240838,259,4775,50,UT
49,Construction and Extraction,3,621,5%,0.053447152,3525,65953,621,UT
49,"Installation, Maintenance, and Repair",3,424,11%,0.107502346,5041,46892,424,UT
49,Production,3,762,6%,0.060878671,5116,84036,762,UT
49,Transportation and Material Moving,3,658,8%,0.075758805,5601,73932,658,UT
49,Military Specific,3,25,11%,0.107082153,189,1765,25,UT
50,Management,3,378,3%,0.034415403,1110,32253,378,VT
50,Business and Financial Operations,3,130,6%,0.063224527,829,13112,130,VT
50,Computer and Mathematical,3,65,0%,0,0,6282,65,VT
50,Architecture and Engineering,3,50,1%,0.009182571,51,5554,50,VT
50,"Life, Physical, and Social Science",3,39,0%,0,0,4478,39,VT
50,Community and Social Services,3,66,9%,0.085643797,729,8512,66,VT
50,Legal,3,36,4%,0.039594241,121,3056,36,VT
50,"Education, Training, and Library",3,286,3%,0.025945421,695,26787,286,VT
50,"Arts, Design, Entertainment, Sports, and Media",3,75,4%,0.035804487,241,6731,75,VT
50,Healthcare Practitioners and Technical,3,177,5%,0.050952911,778,15269,177,VT
50,Healthcare Support,3,74,8%,0.078816509,634,8044,74,VT
50,Protective Service,3,44,7%,0.072529465,320,4412,44,VT
50,Food Preparation and Serving Related,3,151,7%,0.072650602,1206,16600,151,VT
50,"Building and Grounds, Cleaning and Maintenance",3,144,17%,0.174845336,2911,16649,144,VT
50,Personal Care and Service,3,127,8%,0.07897953,1034,13092,127,VT
50,Sales and Related,3,242,4%,0.035931521,892,24825,242,VT
50,Office and Administrative Support,3,417,7%,0.067922091,2734,40252,417,VT
50,"Farming, Fishing, and Forestry",3,51,13%,0.133894924,604,4511,51,VT
50,Construction and Extraction,3,196,6%,0.064245655,1157,18009,196,VT
50,"Installation, Maintenance, and Repair",3,88,7%,0.071094835,563,7919,88,VT
50,Production,3,229,7%,0.072615035,1788,24623,229,VT
50,Transportation and Material Moving,3,141,12%,0.123632022,1864,15077,141,VT
50,Military Specific,3,3,0%,0,0,31,3,VT
51,Management,3,4940,4%,0.042460511,19427,457531,4940,VA
51,Business and Financial Operations,3,2588,4%,0.042806275,10555,246576,2588,VA
51,Computer and Mathematical,3,2024,4%,0.035027779,6664,190249,2024,VA
51,Architecture and Engineering,3,852,3%,0.031338604,2509,80061,852,VA
51,"Life, Physical, and Social Science",3,419,4%,0.036284016,1392,38364,419,VA
51,Community and Social Services,3,701,4%,0.036401618,2457,67497,701,VA
51,Legal,3,727,6%,0.06141349,3886,63276,727,VA
51,"Education, Training, and Library",3,2809,4%,0.040892078,10532,257556,2809,VA
51,"Arts, Design, Entertainment, Sports, and Media",3,886,4%,0.035284909,2885,81763,886,VA
51,Healthcare Practitioners and Technical,3,2227,3%,0.033825266,7504,221846,2227,VA
51,Healthcare Support,3,809,6%,0.058573873,5203,88828,809,VA
51,Protective Service,3,1041,4%,0.042480685,4712,110921,1041,VA
51,Food Preparation and Serving Related,3,1649,7%,0.071037796,14491,203990,1649,VA
51,"Building and Grounds, Cleaning and Maintenance",3,1211,8%,0.077711946,11503,148021,1211,VA
51,Personal Care and Service,3,1216,6%,0.060601253,8021,132357,1216,VA
51,Sales and Related,3,3690,5%,0.052170605,20568,394245,3690,VA
51,Office and Administrative Support,3,4989,6%,0.060941505,30246,496312,4989,VA
51,"Farming, Fishing, and Forestry",3,133,4%,0.044551062,585,13131,133,VA
51,Construction and Extraction,3,1658,4%,0.039741211,7881,198308,1658,VA
51,"Installation, Maintenance, and Repair",3,1217,5%,0.053839794,6968,129421,1217,VA
51,Production,3,1662,7%,0.074496581,12682,170236,1662,VA
51,Transportation and Material Moving,3,1878,6%,0.058981489,12388,210032,1878,VA
51,Military Specific,3,492,2%,0.018190599,904,49696,492,VA
53,Management,3,3547,5%,0.045915209,15875,345746,3547,WA
53,Business and Financial Operations,3,1598,6%,0.055397539,8784,158563,1598,WA
53,Computer and Mathematical,3,1240,3%,0.034658268,4644,133994,1240,WA
53,Architecture and Engineering,3,878,6%,0.057993879,4889,84302,878,WA
53,"Life, Physical, and Social Science",3,362,5%,0.052966102,1725,32568,362,WA
53,Community and Social Services,3,565,8%,0.080462292,4400,54684,565,WA
53,Legal,3,369,4%,0.039945817,1445,36174,369,WA
53,"Education, Training, and Library",3,1932,5%,0.053468849,9159,171296,1932,WA
53,"Arts, Design, Entertainment, Sports, and Media",3,612,5%,0.054722844,3399,62113,612,WA
53,Healthcare Practitioners and Technical,3,1767,5%,0.046904142,8148,173716,1767,WA
53,Healthcare Support,3,729,5%,0.050982696,4166,81714,729,WA
53,Protective Service,3,595,9%,0.086776929,5147,59313,595,WA
53,Food Preparation and Serving Related,3,1379,6%,0.063381565,10780,170081,1379,WA
53,"Building and Grounds, Cleaning and Maintenance",3,1042,8%,0.08361017,9866,118000,1042,WA
53,Personal Care and Service,3,1217,8%,0.081633705,11091,135863,1217,WA
53,Sales and Related,3,2996,6%,0.058858067,19247,327007,2996,WA
53,Office and Administrative Support,3,4026,6%,0.061640029,25396,412005,4026,WA
53,"Farming, Fishing, and Forestry",3,459,6%,0.063118258,3101,49130,459,WA
53,Construction and Extraction,3,1311,7%,0.069913332,10632,152074,1311,WA
53,"Installation, Maintenance, and Repair",3,1034,10%,0.104447168,11163,106877,1034,WA
53,Production,3,1595,7%,0.074425988,12940,173864,1595,WA
53,Transportation and Material Moving,3,1794,8%,0.07777112,15576,200280,1794,WA
53,Military Specific,3,266,3%,0.030883655,872,28235,266,WA
54,Management,3,535,6%,0.059632946,3337,55959,535,WV
54,Business and Financial Operations,3,250,6%,0.056442268,1510,26753,250,WV
54,Computer and Mathematical,3,122,2%,0.022986834,316,13747,122,WV
54,Architecture and Engineering,3,95,5%,0.054234918,543,10012,95,WV
54,"Life, Physical, and Social Science",3,77,7%,0.065428824,518,7917,77,WV
54,Community and Social Services,3,129,10%,0.1014174,1245,12276,129,WV
54,Legal,3,92,5%,0.047157338,428,9076,92,WV
54,"Education, Training, and Library",3,497,5%,0.046221996,1993,43118,497,WV
54,"Arts, Design, Entertainment, Sports, and Media",3,73,7%,0.065878126,440,6679,73,WV
54,Healthcare Practitioners and Technical,3,503,4%,0.044623656,2324,52080,503,WV
54,Healthcare Support,3,217,7%,0.073373042,1663,22665,217,WV
54,Protective Service,3,196,11%,0.11401354,1903,16691,196,WV
54,Food Preparation and Serving Related,3,347,10%,0.101261214,3894,38455,347,WV
54,"Building and Grounds, Cleaning and Maintenance",3,311,12%,0.117927724,4004,33953,311,WV
54,Personal Care and Service,3,260,11%,0.109280705,3350,30655,260,WV
54,Sales and Related,3,648,8%,0.078676087,5579,70911,648,WV
54,Office and Administrative Support,3,1053,7%,0.073207123,7556,103214,1053,WV
54,"Farming, Fishing, and Forestry",3,38,10%,0.103290516,587,5683,38,WV
54,Construction and Extraction,3,531,12%,0.11814184,6770,57304,531,WV
54,"Installation, Maintenance, and Repair",3,300,8%,0.076494604,2417,31597,300,WV
54,Production,3,421,10%,0.102832499,4912,47767,421,WV
54,Transportation and Material Moving,3,538,10%,0.097002955,5745,59225,538,WV
54,Military Specific,3,3,70%,0.695167286,187,269,3,WV
55,Management,3,3084,4%,0.041388641,11686,282348,3084,WI
55,Business and Financial Operations,3,1208,4%,0.040271172,5275,130987,1208,WI
55,Computer and Mathematical,3,545,4%,0.040515541,2650,65407,545,WI
55,Architecture and Engineering,3,483,4%,0.037180685,1831,49246,483,WI
55,"Life, Physical, and Social Science",3,206,6%,0.055452141,1132,20414,206,WI
55,Community and Social Services,3,429,6%,0.05557627,2683,48276,429,WI
55,Legal,3,195,4%,0.036749368,828,22531,195,WI
55,"Education, Training, and Library",3,1574,5%,0.050272831,7822,155591,1574,WI
55,"Arts, Design, Entertainment, Sports, and Media",3,396,9%,0.087852186,4013,45679,396,WI
55,Healthcare Practitioners and Technical,3,1592,2%,0.024459861,3882,158709,1592,WI
55,Healthcare Support,3,794,9%,0.086528759,7203,83244,794,WI
55,Protective Service,3,455,7%,0.069513099,3375,48552,455,WI
55,Food Preparation and Serving Related,3,1142,7%,0.071569889,9731,135965,1142,WI
55,"Building and Grounds, Cleaning and Maintenance",3,976,11%,0.109910305,10526,95769,976,WI
55,Personal Care and Service,3,866,6%,0.06244515,5550,88878,866,WI
55,Sales and Related,3,2514,5%,0.054805927,15402,281028,2514,WI
55,Office and Administrative Support,3,3942,7%,0.073345965,28840,393205,3942,WI
55,"Farming, Fishing, and Forestry",3,398,7%,0.071273404,2067,29001,398,WI
55,Construction and Extraction,3,1315,8%,0.075601404,8699,115064,1315,WI
55,"Installation, Maintenance, and Repair",3,1039,7%,0.070178181,6735,95970,1039,WI
55,Production,3,2923,6%,0.063817072,18688,292837,2923,WI
55,Transportation and Material Moving,3,2069,8%,0.083266819,15231,182918,2069,WI
55,Military Specific,3,15,15%,0.148952096,199,1336,15,WI
56,Management,3,314,8%,0.076152368,2417,31739,314,WY
56,Business and Financial Operations,3,105,8%,0.084631129,951,11237,105,WY
56,Computer and Mathematical,3,25,5%,0.049556809,123,2482,25,WY
56,Architecture and Engineering,3,49,8%,0.080382014,404,5026,49,WY
56,"Life, Physical, and Social Science",3,37,9%,0.090799324,376,4141,37,WY
56,Community and Social Services,3,63,8%,0.082809917,501,6050,63,WY
56,Legal,3,29,8%,0.082267542,238,2893,29,WY
56,"Education, Training, and Library",3,231,4%,0.043465801,910,20936,231,WY
56,"Arts, Design, Entertainment, Sports, and Media",3,22,3%,0.032562125,76,2334,22,WY
56,Healthcare Practitioners and Technical,3,145,11%,0.107771885,1646,15273,145,WY
56,Healthcare Support,3,48,5%,0.045801527,246,5371,48,WY
56,Protective Service,3,73,4%,0.03560757,286,8032,73,WY
56,Food Preparation and Serving Related,3,135,7%,0.067087346,1010,15055,135,WY
56,"Building and Grounds, Cleaning and Maintenance",3,116,7%,0.073213104,885,12088,116,WY
56,Personal Care and Service,3,78,13%,0.13253886,1279,9650,78,WY
56,Sales and Related,3,237,7%,0.068505697,1870,27297,237,WY
56,Office and Administrative Support,3,335,8%,0.0808,2626,32500,335,WY
56,"Farming, Fishing, and Forestry",3,28,1%,0.011969112,31,2590,28,WY
56,Construction and Extraction,3,272,7%,0.066758764,1933,28955,272,WY
56,"Installation, Maintenance, and Repair",3,127,9%,0.093829474,1402,14942,127,WY
56,Production,3,124,8%,0.081614971,942,11542,124,WY
56,Transportation and Material Moving,3,217,10%,0.095889729,1927,20096,217,WY
56,Military Specific,3,13,0%,0,0,1441,13,WY
