city1,city2,dist,vol,avg_fare,largest_carrier,mkt_share,avg_fare_largest_carrier,lowest_fare_carrier,mkt_share_lowest_fare,avg_fare_lowest_carrier
ISP,GNV,923,0.22,$274.00,US,100.0,$274.00,US,100.0,$274.00
ISP,GRB,806,0.22,$224.50,US,100.0,$224.50,US,100.0,$224.50
ISP,GRR,656,4.02,$262.71,WN,91.9,$255.03,WN,91.9,$255.03
ISP,GSO,492,6.52,$215.13,US,100.0,$215.13,US,100.0,$215.13
ISP,GSP,643,13.48,$182.49,WN,60.5,$169.24,WN,60.5,$169.24
ISP,ILM,521,10.33,$186.28,US,96.8,$187.13,US,96.8,$187.13
ISP,IND,701,18.91,$203.55,WN,60.9,$181.32,WN,60.9,$181.32
ISP,JAN,1108,0.98,$289.67,WN,55.6,$231.20,WN,55.6,$231.20
ISP,LAS,2282,35.00,$233.78,WN,83.5,$229.16,WN,83.5,$229.16
ISP,LAW,1447,0.22,$242.50,,0.0,$0.00,,0.0,"$9,999.00"
ISP,LAX,2510,16.85,$248.07,WN,50.3,$235.65,WN,50.3,$235.65
ISP,LIT,1125,3.04,$288.43,WN,82.1,$295.52,US,17.9,$255.80
ISP,LYH,406,0.54,$254.61,US,100.0,$254.61,US,100.0,$254.61
ISP,MCI,1148,15.87,$255.04,WN,81.5,$247.84,WN,81.5,$247.84
ISP,MEM,1002,4.78,$206.56,WN,68.2,$190.02,WN,68.2,$190.02
ISP,MIA,1113,2.50,$188.61,US,91.3,$186.55,US,91.3,$186.55
ISP,MKE,777,4.78,$216.00,WN,75.0,$180.94,WN,75.0,$180.94
ISP,MLB,974,0.22,$265.00,US,100.0,$265.00,US,100.0,$265.00
ISP,MLI,908,0.43,$262.00,US,50.0,$310.50,US,50.0,$310.50
ISP,MSN,850,0.11,$325.00,,0.0,$0.00,,0.0,"$9,999.00"
ISP,MSY,1218,23.59,$191.99,WN,88.5,$190.81,WN,88.5,$190.81
ISP,OAJ,480,0.87,$255.00,US,100.0,$255.00,US,100.0,$255.00
ISP,OAK,2608,2.39,$227.33,WN,86.4,$230.16,WN,86.4,$230.16
ISP,OKC,1381,7.50,$265.12,WN,95.7,$246.58,WN,95.7,$246.58
ISP,OMA,1188,1.63,$259.07,US,46.7,$260.43,UA,13.3,$251.50
ISP,ONT,2464,0.98,$285.44,WN,66.7,$311.67,US,33.3,$233.00
ISP,ORF,317,32.28,$181.71,WN,84.5,$180.13,WN,84.5,$180.13
ISP,PBI,1052,481.30,$187.23,WN,99.2,$186.92,WN,99.2,$186.92
ISP,PDX,2482,1.52,$250.21,US,57.1,$197.88,US,57.1,$197.88
ISP,PGD,1083,11.30,$147.82,G4,100.0,$147.82,G4,100.0,$147.82
ISP,PGV,425,0.11,$482.00,US,100.0,$482.00,US,100.0,$482.00
ISP,PHF,312,0.22,$206.00,US,100.0,$206.00,US,100.0,$206.00
ISP,PHL,130,2.17,$141.41,US,95.0,$140.67,US,95.0,$140.67
ISP,PNS,1063,1.52,$270.00,US,71.4,$301.70,WN,28.6,$190.75
ISP,PWM,243,0.87,$199.75,US,62.5,$206.20,WN,37.5,$189.00
ISP,RAP,1540,0.22,$378.50,,0.0,$0.00,,0.0,"$9,999.00"
ISP,RDU,459,69.24,$156.21,WN,88.7,$151.41,WN,88.7,$151.41
ISP,RIC,321,5.43,$221.77,US,98.0,$223.54,US,98.0,$223.54
ISP,RNO,2443,1.09,$366.80,US,100.0,$366.80,US,100.0,$366.80
ISP,ROA,440,0.22,$255.00,US,100.0,$255.00,US,100.0,$255.00
ISP,ROC,285,6.30,$151.60,WN,75.9,$146.84,WN,75.9,$146.84
ISP,RST,1014,0.33,$613.33,,0.0,$0.00,,0.0,"$9,999.00"
ISP,RSW,1101,40.11,$212.10,WN,87.0,$210.69,WN,87.0,$210.69
ISP,SAN,2481,20.00,$275.29,WN,82.1,$266.46,WN,82.1,$266.46
ISP,SAT,1624,22.28,$195.63,WN,95.1,$187.22,WN,95.1,$187.22
ISP,SAV,748,6.09,$215.30,US,98.2,$215.82,US,98.2,$215.82
ISP,SBA,2571,0.22,$241.50,US,100.0,$241.50,US,100.0,$241.50
ISP,SBN,691,0.22,$256.00,US,100.0,$256.00,US,100.0,$256.00
ISP,SDF,699,16.74,$216.93,WN,90.9,$217.08,WN,90.9,$217.08
ISP,SFO,2619,5.87,$292.72,US,59.3,$268.12,WN,16.7,$221.88
ISP,SGF,1116,0.11,$325.00,US,100.0,$325.00,US,100.0,$325.00
ISP,SJC,2602,0.87,$324.75,WN,87.5,$273.43,WN,87.5,$273.43
ISP,SLC,2022,5.43,$225.46,WN,84.0,$225.18,WN,84.0,$225.18
ISP,SMF,2553,0.76,$318.86,US,42.9,$332.36,WN,42.9,$283.67
ISP,SNA,2489,0.76,$291.14,US,85.7,$309.07,US,85.7,$309.07
ISP,SRQ,1069,0.43,$378.75,US,100.0,$378.75,US,100.0,$378.75
ISP,SYR,223,0.54,$240.82,US,100.0,$240.82,US,100.0,$240.82
ISP,TLH,955,0.65,$512.00,US,83.3,$532.61,US,83.3,$532.61
ISP,TPA,1034,335.43,$173.30,WN,97.5,$172.32,WN,97.5,$172.32
ISP,TRI,585,0.22,$274.50,US,100.0,$274.50,US,100.0,$274.50
ISP,TUL,1271,0.76,$392.57,WN,42.9,$334.00,US,28.6,$308.50
ISP,TYS,684,3.91,$242.03,US,94.4,$233.40,US,94.4,$233.40
