DATES,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,INJURED,KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
1/13/2013,2:50,BRONX,10454,40.8079057,-73.9200454,"(40.8079057, -73.9200454)",EAST 138 STREET,BROWN PLACE,,1,0,1,0,0,0,0,0,Unspecified,,,,,73684,PASSENGER VEHICLE,,,,
1/13/2013,3:00,BROOKLYN,11226,40.6453018,-73.9580373,"(40.6453018, -73.9580373)",DURYEA PLACE,FLATBUSH AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,148987,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
1/13/2013,3:30,,,,,,65 ROAD,QUEENS BOULEVARD,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,265316,TAXI,PASSENGER VEHICLE,,,
1/13/2013,3:33,BROOKLYN,11207,40.6511499,-73.8900044,"(40.6511499, -73.8900044)",FLATLANDS AVENUE,LOUISIANA AVENUE,,1,0,1,0,0,0,0,0,Failure to Keep Right,,,,,165650,SPORT UTILITY / STATION WAGON,,,,
1/13/2013,4:40,MANHATTAN,10010,40.7398662,-73.9895819,"(40.7398662, -73.9895819)",BROADWAY,EAST 21 STREET,,1,0,1,0,0,0,0,0,Alcohol Involvement,,,,,23037,SPORT UTILITY / STATION WAGON,,,,
1/13/2013,5:34,BROOKLYN,11229,40.5984049,-73.9463456,"(40.5984049, -73.9463456)",BEDFORD AVENUE,GRAVESEND NECK ROAD,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,117957,PASSENGER VEHICLE,BICYCLE,,,
1/13/2013,6:40,MANHATTAN,10021,40.7711065,-73.9617091,"(40.7711065, -73.9617091)",LEXINGTON AVENUE,EAST 73 STREET,,1,0,1,0,0,0,0,0,Other Vehicular,,,,,47176,UNKNOWN,,,,
1/13/2013,7:00,,,,,,BREWER BOULEVARD,130 AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,269390,PASSENGER VEHICLE,,,,
1/13/2013,8:00,,,,,,PARSONS BOULEVARD,GRAND CENTRAL PARKWAY,,1,0,0,0,0,0,1,0,Pavement Slippery,Unspecified,,,,234729,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
1/13/2013,8:10,,,,,,ROSEDALE AVENUE,CROSS BRONX EXPRESSWAY,,1,0,0,0,0,0,1,0,Unspecified,,,,,82152,MOTORCYCLE,,,,
1/13/2013,8:23,BROOKLYN,11216,40.674463,-73.9528493,"(40.674463, -73.9528493)",ROGERS AVENUE,PROSPECT PLACE,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Prescription Medication,Unspecified,,,173510,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
1/13/2013,8:25,STATEN ISLAND,10304,40.5893449,-74.1014938,"(40.5893449, -74.1014938)",RICHMOND ROAD,BUEL AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,296103,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
1/13/2013,8:35,BROOKLYN,11206,40.700922,-73.951287,"(40.700922, -73.951287)",MARCY AVENUE,WALTON STREET,,1,0,1,0,0,0,0,0,Unspecified,,,,,195126,VAN,,,,
1/13/2013,12:35,MANHATTAN,10003,40.7348371,-73.983113,"(40.7348371, -73.983113)",2 AVENUE,EAST 18 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,23024,TAXI,PASSENGER VEHICLE,,,
1/13/2013,13:35,BROOKLYN,11203,40.6414812,-73.9399151,"(40.6414812, -73.9399151)",EAST 39 STREET,AVENUE D,,0,0,0,0,0,0,0,0,Backing Unsafely,Physical Disability,,,,136854,PASSENGER VEHICLE,BICYCLE,,,
1/13/2013,13:55,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3102244,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
1/13/2013,15:00,,,,,,18 AVENUE,BENSON AVENUE,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Driver Inattention/Distraction,,,,122774,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
1/13/2013,15:15,BROOKLYN,11229,40.5986294,-73.9582575,"(40.5986294, -73.9582575)",AVENUE U,EAST 13 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,117976,BUS,SPORT UTILITY / STATION WAGON,,,
1/13/2013,15:15,QUEENS,11432,40.7143249,-73.8074208,"(40.7143249, -73.8074208)",PARSONS BOULEVARD,HOOVER AVENUE,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,234731,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
1/13/2013,16:25,MANHATTAN,10019,40.766198,-73.9795455,"(40.766198, -73.9795455)",WEST 58 STREET,7 AVENUE,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,Unspecified,,,39977,TAXI,PASSENGER VEHICLE,PASSENGER VEHICLE,,
1/13/2013,16:30,QUEENS,11422,40.665256,-73.7353338,"(40.665256, -73.7353338)",FRANCIS LEWIS BOULEVARD,SOUTH CONDUIT AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,222090,PASSENGER VEHICLE,UNKNOWN,,,
1/13/2013,18:30,QUEENS,11372,40.7560484,-73.8807209,"(40.7560484, -73.8807209)",NORTHERN BOULEVARD,87 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,281114,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
1/13/2013,21:10,,,,,,110 STREET,LIBERTY AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Backing Unsafely,,,,229572,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
